No.,Time,Source,Service Data,Info,Length
1866,3.683757,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1867,3.684616,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1868,3.685475,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1869,3.686344,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1870,3.687203,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1872,3.688933,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1873,3.689791,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1874,3.690663,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1875,3.691521,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1876,3.692379,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1877,3.695838,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1878,3.696696,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1879,3.697560,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1880,3.701006,dc:23:51:7d:96:27,4080e8f0c78dd7d6a9fe95e52465653e8e927a00,ADV_NONCONN_IND,63
1881,3.701876,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1882,3.702735,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1883,3.703593,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1884,3.704464,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1885,3.705323,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1889,3.713964,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1890,3.714821,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1900,3.720849,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1901,3.721706,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1902,3.722567,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1903,3.723425,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1904,3.724284,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1905,3.725144,dc:23:51:7d:96:27,4080804ccd60eae070041c66b0c58f825a09af00,ADV_NONCONN_IND,63
1906,3.726003,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1907,3.726868,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1908,3.727726,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1909,3.728585,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1910,3.729456,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1915,3.736360,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1917,3.738089,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1919,3.739806,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1920,3.740677,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1921,3.741535,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1922,3.744996,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1923,3.745853,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1924,3.746713,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1925,3.747576,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1926,3.748435,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1930,3.751877,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1931,3.752736,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1932,3.753593,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1934,3.757913,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1935,3.758784,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1939,3.761370,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1940,3.764818,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1941,3.765689,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1942,3.766547,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1946,3.775174,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1947,3.776032,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1948,3.776902,dc:23:51:7d:96:27,408080000001e701232daa381b17ead057a13fb3,ADV_NONCONN_IND,63
1949,3.777761,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1950,3.778619,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1951,3.779490,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1952,3.780349,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1953,3.781221,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1955,3.782945,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1957,3.789847,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1958,3.790716,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1959,3.791575,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1960,3.797593,dc:23:51:7d:96:27,408080000001e701232daa381b17ea805a09af00,ADV_NONCONN_IND,63
1961,3.798452,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1962,3.799310,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1963,3.800170,dc:23:51:7d:96:27,af425b2e8d63214262da286d1b17ea805a09af00,ADV_NONCONN_IND,63
1964,3.801029,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1965,3.801894,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
1966,3.802752,dc:23:51:7d:96:27,408080000001e70123902cedc5768d3d5a09af00,ADV_NONCONN_IND,63
1967,3.803611,dc:23:51:7d:96:27,,ADV_NONCONN_IND,63
1968,3.804482,dc:23:51:7d:96:27,408060000001e70a9a673df24863673e8e927a00,ADV_NONCONN_IND,63
